# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=None
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
291    319   353 0.65   YES    57 0.950    9.0    10.4   False      396   49.0     384
292    309   114 0.75   YES   101 0.700   13.0    10.1   False      589    1.5     422
293    264   121 1.10   YES   240 0.525   39.0     8.6   False      566  -43.8     569
294    368    87 1.29   YES    67 0.825   13.0    10.9   False      660  -53.4     601
295    305   191 1.16   YES    56 0.825    9.0     9.7   False      476   -5.6     443
296    270   133 0.92   YES   162 0.700   18.0     8.4   False      522  -21.2     494
297    385    84 1.20   YES    55 0.650   10.0    10.9   False      627  -80.4     690
298    346   135 0.99   YES    66 0.900   12.0    10.9   False      487    4.3     419
299    343    72 0.68   YES    47 0.900   12.0    11.3   False      453   40.9     389
300    294   142 0.60   YES    45 0.925    5.0     8.7   False      471   13.4     410

SOLVABLE 283/301 = 94.0%
aim tolerance on solvable rounds: min 1.0deg  median 9.0deg  max 109.0deg
UNSOLVABLE rounds: 7 (dist 391px, closest miss 38.9px, maxReach 405px, hotPass=False), 12 (dist 418px, closest miss 42.6px, maxReach 429px, hotPass=False), 27 (dist 367px, closest miss 26.0px, maxReach 366px, hotPass=False), 28 (dist 450px, closest miss 40.6px, maxReach 492px, hotPass=False), 31 (dist 396px, closest miss 52.8px, maxReach 448px, hotPass=False), 32 (dist 380px, closest miss 32.6px, maxReach 389px, hotPass=False), 36 (dist 450px, closest miss 52.3px, maxReach 436px, hotPass=False), 53 (dist 464px, closest miss 56.3px, maxReach 491px, hotPass=False), 85 (dist 389px, closest miss 31.6px, maxReach 405px, hotPass=False), 157 (dist 453px, closest miss 53.7px, maxReach 538px, hotPass=False), 180 (dist 379px, closest miss 30.3px, maxReach 388px, hotPass=False), 196 (dist 370px, closest miss 19.8px, maxReach 383px, hotPass=False), 202 (dist 408px, closest miss 45.1px, maxReach 392px, hotPass=False), 218 (dist 414px, closest miss 39.0px, maxReach 454px, hotPass=False), 224 (dist 412px, closest miss 51.0px, maxReach 379px, hotPass=False), 268 (dist 397px, closest miss 36.5px, maxReach 398px, hotPass=False), 278 (dist 474px, closest miss 113.7px, maxReach 387px, hotPass=False), 282 (dist 462px, closest miss 98.0px, maxReach 410px, hotPass=False)
